City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
326,vilyuysk,63.7553,121.6247,2.78,64,72,0.89,RU,1715644528
327,diego de almagro,-26.3667,-70.05,14.73,38,68,1.52,CL,1715644801
328,monteagudo,-19.8167,-63.9833,9.41,87,100,1.72,BO,1715644802
329,cabo san lucas,22.8909,-109.9124,29.78,52,2,4.52,MX,1715644391
330,papatowai,-46.5619,169.4708,12.08,61,10,1.5,NZ,1715644530
331,asentamiento humano nicolas de pierola,-11.95,-76.7,17.3,68,22,0.77,PE,1715644807
332,mount isa,-20.7333,139.5,22.87,38,0,3.09,AU,1715644394
333,miyako,39.6367,141.9525,17.16,42,69,1.46,JP,1715644807
334,maun,-19.9833,23.4167,17.62,51,0,4.04,BW,1715644808
335,bouca,6.5105,18.2733,21.6,92,100,2.12,CF,1715644809
336,pangody,65.85,74.4859,-2.39,93,98,7.57,RU,1715644367
337,port blair,11.6667,92.75,28.4,80,100,2.16,IN,1715644547
338,amas,7.0569,124.9839,28.09,76,55,1.39,PH,1715644810
339,cadale,2.7603,46.3222,27.79,83,81,7.48,SO,1715644811
340,liuhe,42.2401,125.7172,16.87,47,100,4.23,CN,1715644811
341,naze,28.3667,129.4833,22.51,67,100,4.64,JP,1715644437
342,refahiye,39.9008,38.7667,3.1,84,100,2.21,TR,1715644812
343,wynyard,-41.0,145.7167,13.2,56,53,4.99,AU,1715644813
344,seven pagodas,12.6264,80.1722,30.06,72,51,2.36,IN,1715644814
345,tual,-5.6667,132.75,28.32,79,44,9.39,ID,1715644815
346,thames,-37.1333,175.5333,16.28,54,100,0.93,NZ,1715644815
347,hilo,19.7297,-155.09,28.85,74,0,6.69,US,1715644392
348,levuka,50.1834,-105.4011,20.9,37,75,3.09,CA,1715644816
349,tvoroyri,61.5556,-6.8111,8.89,97,100,5.35,FO,1715644423
350,opuwo,-18.0607,13.84,20.01,27,0,2.57,NA,1715644816
351,olmos,-5.9847,-79.7453,20.5,67,52,2.56,PE,1715644817
352,aykhal,66.0,111.5,-0.43,97,98,4.63,RU,1715644817
353,black point,-34.6187,137.8972,15.11,82,96,3.16,AU,1715644818
354,turkestan,43.3333,68.25,19.76,51,59,4.96,KZ,1715644819
355,nova sintra,14.8667,-24.7167,24.26,78,46,8.64,CV,1715644544
356,selfoss,63.9331,-20.9971,2.8,75,53,4.25,IS,1715644820
357,hasaki,35.7333,140.8333,16.27,59,100,9.16,JP,1715644387
358,kangding,30.0513,101.9603,12.53,88,61,1.54,CN,1715644821
359,kiruna,67.8557,20.2251,4.51,87,100,1.03,SE,1715644822
360,garissa,-0.4536,39.6401,25.62,80,92,6.62,KE,1715644822
